sg_address1,sg_address2,sg_address3,zipcode
391B ORCHARD ROAD,#24-02 NGEE ANN CITY TOWER B,SINGAPORE,238874
1 KAKI BUKIT VIEW,#04-01 TECHVIEW,SINGAPORE,415941
10 ANG MO KIO STREET 65,#01-01/03 TECHPOINT,SINGAPORE,569059
42A PENJURU ROAD,#07-00,SINGAPORE,609164
"3 TEMASEK AVENUE,","#22-03 CENTENNIAL TOWER,",SINGAPORE,039190
78 SHENTON WAY,#15-01/01B,SINGAPORE,079120
7030 ANG MO KIO AVENUE 5,#08-75/77/79 NORTHSTAR @ AMK,SINGAPORE,569880
65 AIRPORT BOULEVARD CHANGI AIRPORT TERMINAL,#B1-17,SINGAPORE,819663
6 TEMASEK BOULEVARD,#30-04 SUNTEC TOWER 4,SINGAPORE,038986
"STARHUB GREEN BUILDING,","67 UBI AVENUE 1 #06-06,",SINGAPORE,408942
26 CHANGI NORTH CRESCENT,LEVEL 3,SINGAPORE,499637
1 WALLICH STREET,#32-03 GUOCO TOWER,SINGAPORE,078881
600 NORTH BRIDGE ROAD,#19-01 PARKVIEW SQUARE,SINGAPORE,188778
TANGLIN ROAD,,SINGAPORE,248163
2 KIM CHUAN LANE,KONG SIANG GROUP BLDG,SINGAPORE,537072
9 NORTH BUONA VISTA DRIVE,#12-01 THE METROPOLIS TOWER 1,SINGAPORE,138588
238A THOMSON ROAD,#25-01 NOVENA SQUARE OFFICE TOWER A,SINGAPORE,307684
1 TUAS BAY DRIVE,,SINGAPORE,637557
1 SHERWOOD ROAD,MINISTRY OF FOREIGN AFFAIRS BUILDING,SINGAPORE,248163
16 KALLANG PLACE,#06-13,SINGAPORE,339156
1 HARBOURFRONT AVENUE,#15-02/07 KEPPEL BAY TWR,SINGAPORE,098632
1 WALLICH STREET,#19-01 GUOCO TOWER,SINGAPORE,078881
1 AVIATION DRIVE,SINGAPORE AVIATION ACADEMY,SINGAPORE,499867
390 HAVELOCK ROAD,#08-01 KING'S CENTRE,SINGAPORE,169662
50 COLLYER QUAY,#08-02 OUE BAYFRONT,SINGAPORE,049321
9 STRAITS VIEW,MARINA ONE WEST TOWER #06-07,SINGAPORE,018937
