sg_address1,sg_address2,sg_address3,zipcode
7 SIN MING WALK,THE GARDENS @ BISHAN #05-14,SINGAPORE,575577
514 CHAI CHEE LANE #05-15,,SINGAPORE,469029
998 TOA PAYOH NORTH,#04-23/26,SINGAPORE,318993
16B ENTERPRISE RD,ENTERPRISE 10,SINGAPORE,627651
BLK 10 UBI CRESCENT 03-89,,SINGAPORE,408564
289/290 FARNBOROUGH ROAD,,SINGAPORE,509747
141 MIDDLE ROAD,06-07A,SINGAPORE,188976
333 NORTH BRIDE ROAD,#09-00 K.H. KEA BUILDING,SINGAPORE,188721
83 PATERSON ROAD,PATERSON RESIDENCE #21-03,SINGAPORE,238549
7 MANDAI LINK,#04-32 MANDAI CONNECTION,SINGAPORE,728653
33 UBI AVENUE 3,#04-27 VERTEX,SINGAPORE,408868
BLK 219 HENDERSON ROAD #04-01,HENDERSON INDUSTRIAL PARK,SINGAPORE,159556
51 TANNERY LANE,"#08-02, SHARELY WAREHOUSE",SINGAPORE,347798
1 ROBINSON ROAD,#18-00 AIA TOWER,SINGAPORE,048542
40 SHELFORD ROAD,#03-09 WATTEN ESTATE CONDOMINIUM,SINGAPORE,288433
48 TANNERY LANE,#04-00,SINGAPORE,347795
14 TUAS CRESCENT,,SINGAPORE,638708
60 PAYA LEBAR ROAD,#07-05 PAYA LEBAR SQUARE,SINGAPORE,409051
"24 RAFFLES PLACE,","#29-04A CLIFFORD CENTRE,",SINGAPORE,048621
28 SIN MING LANE,#07-148 MIDVIEW CITY,SINGAPORE,573972
8 WILKIE ROAD,#03-08 WILKIE EDGE,SINGAPORE,228095
2 JALAN KILANG BARAT,#02-01,SINGAPORE,159346
83A/85A JALAN SULTAN,,SINGAPORE,198991
"20 SIN MING LANE, #07-68",MIDVIEW CITY,SINGAPORE,573968
8 MARINA VIEW,ASIA SQUARE TWR 1 #33-04,SINGAPORE,018960
BLK 709 JURONG WEST ST 71,#15-32,SINGAPORE,640709
1 NANSON ROAD,LEVEL 3,SINGAPORE,238909
11 SIN MING ROAD,#01-13(2ND FLOOR)THOMSON V TWO,SINGAPORE,575829
BLK 211 WOODLANDS AVE 9,#03-88 WOODLAND SPECTRUM 2,SINGAPORE,738960
30 KALLANG PUDDING ROAD,#04-04 VALIANT INDUSTRIAL BUILDING,SINGAPORE,349312
"10 ANSON ROAD,",#05-17 INTERNATIONAL PLAZA,SINGAPORE,079903
10 UBI CRESCENT #03-10,LOBBY A UBI TECHPARK,SINGAPORE,408564
7 IPOH LANE,#11-03,SINGAPORE,438610
18A GEMMILL LANE,,SINGAPORE,069255
51 AYER RAJAH CRESCENT,#03-03 AYER RAJAH INDUSTRIAL ESTATE,SINGAPORE,139948
159 SIN MING ROAD,#03-05 AMTECH BUILDING,SINGAPORE,575625
31 NANYANG LINK,WKWSCI BUILDING #04-39,SINGAPORE,637718
171 KAMPONG AMPAT,#06-13 KA FOODLINK,SINGAPORE,368330
46 KIM YAM ROAD,"#01-04 THE HERENCIA,",SINGAPORE,239351
INTERNATIONAL BUSINESS PARK,#01-34 THE STRATEGY TOWER 2,SINGAPORE,609930
35 ONAN ROAD,,SINGAPORE,424486
8 CROSS STREET,#28-11 PWC BUILDING,SINGAPORE,048424
750E CHAI CHEE ROAD,#07-01/02,SINGAPORE,469005
190 MIDDLE ROAD,#19-05,SINGAPORE,188979
"3, GUL STREET 1,",,SINGAPORE,629316
331 NORTH BRIDGE ROAD,#02-01/08 ODEON TOWERS,SINGAPORE,188720
194 PANDAN LOOP,#06-14 PANTECH BUSINESS HUB,SINGAPORE,128383
10A ROBERTS LANE,,SINGAPORE,218289
"LOBBY 2, #09-00",42A PENJURU ROAD,SINGAPORE,609164
6 PETIR ROAD,#23-14,SINGAPORE,678267
91 ALPS AVENUE,"#03-09/10, LIAN SOON AMENITY CENTRE",SINGAPORE,498787
8 TUAS LOOP,,SINGAPORE,637344
21 WOODLANDS CLOSE,#05-06 PRIMZ BIZHUB,SINGAPORE,737854
3C TOH GUAN ROAD EAST,#04-01/02/03/04,SINGAPORE,608832
50 BUKIT BATOK STREET 23,#05-10/11/12,SINGAPORE,659578
2 ALEXANDRA ROAD,#04-01 DELTA HOUSE,SINGAPORE,159919
25 HAZEL PARK TERRACE,#04-11,SINGAPORE,678948
9 TUAS AVENUE 13,,SINGAPORE,638982
400 ORCHARD ROAD #05.27,ORCHARD TOWER,SINGAPORE,238875
UE BIZHUB EAST 8,CHANGI BUSINESS PARK AVENUE 1,SINGAPORE,486018
BLK 9008 TAMPINES STREET 93,#01-59,SINGAPORE,528842
31 HARRISON ROAD,#10-03,SINGAPORE,369649
120 LOWER DELTA ROAD,"CENDEX CENTER, #13-05/06",SINGAPORE,169208
140 CECIL STREET,#06-01A PIL BUILDING,SINGAPORE,069540
25 INTERNATIONAL BUSINESS PARK,#01-61/64 GERMAN CENTRE,SINGAPORE,609916
8 LORONG 15 GEYLANG,,SINGAPORE,388601
21 KIAN TECK ROAD,,SINGAPORE,628773
5 HARPER ROAD,#05-01,SINGAPORE,369673
BLK 2019 BT. BATOK INDUSTRIAL PARK A,"#03-252, BT. BATOK ST 23",SINGAPORE,659524
998 TOA PAYOH NORTH,#06-08,SINGAPORE,318993
580 SERANGOON RD,,SINGAPORE,218194
52 UBI AVENUE 3,"#04-41, FRONTIER",SINGAPORE,408867
BLK1003 TOA PAYOH INDUSTRIAL PARK,#05-1525,SINGAPORE,319075
GILLMAN BARRACKS 9 LOCK ROAD,#02-22,SINGAPORE,108937
"24 SIN MING LANE #07-100,",MIDVIEW CITY,SINGAPORE,573970
165 KAKI BUKIT AVENUE 1,LEVEL 2 SHUN LI INDUSTRIAL PARK,SINGAPORE,416017
BLK 78B TELOK BLANGAH STREET 32,#03-03,SINGAPORE,102078
101 UPPER CROSS STREET,#05-16 PEOPLE'S PARK CENTRE,SINGAPORE,058357
1 BUKIT BATOK CRESCENT,#08-35 WCEGA PLAZA,SINGAPORE,658064
11 IRVING PLACE,#09-05,SINGAPORE,369551
3 SECOND HOSPITAL AVENUE,,SINGAPORE,168937
25 INTERNATIONAL BUSINESS PARK,#01-07/10 GERMAN CENTRE,SINGAPORE,609916
33 UBI AVE 3,#07-49,SINGAPORE,408868
"33C BENOI ROAD,","PIONEER LOT,",SINGAPORE,627787
37 JALAN PEMIMPIN,#06-03 MAPEX,SINGAPORE,577177
346 RIVER VALLEY ROAD,#19-01 RIVERDALE RESIDENCE,SINGAPORE,238373
9 TEMASEK BOULEVARD,#36-02 SUNTEC TOWER 2,SINGAPORE,038989
1 PLYMOUTH AVENUE,,SINGAPORE,297753
219 HENDERSON ROAD,#10-03 HENDERSON IND PK,SINGAPORE,159556
3 TUAS AVENUE 1,,SINGAPORE,639488
#05-01 22 LOYANG LANE,AIR MARKET LOGISTICS CENTRE,SINGAPORE,508931
11 DEFU LANE 9,,SINGAPORE,539253
132 JALAN BESAR,,SINGAPORE,208850
590 SERANGOON ROAD,,SINGAPORE,218204
18 BOON LAY WAY,#07-113 TRADEHUB 21,SINGAPORE,609966
210 MIDDLE ROAD,#06-01,SINGAPORE,188994
PANTECH BUSINESS HUB,BLOCK 192 PANDAN LOOP #05-16,SINGAPORE,128381
BLK 3018 UBI ROAD 1,#01-117,SINGAPORE,408710
17 DEFU AVENUE 2,,SINGAPORE,539521
18 KAKI BUKIT ROAD 3,#04-12 ENTREPRENEUR BUSINESS CENTRE,SINGAPORE,415978
140 CECIL STREET,#06-01 PIL BUILDING,SINGAPORE,069540
300 BEACH ROAD,#10-04 THE CONCOURSE,SINGAPORE,199555
30 OLD TOH TUCK ROAD,LIFT LOBBY A #05-01 AREIT,SINGAPORE,597654
150 KAMPONG AMPAT,#01-02 KA CENTRE,SINGAPORE,368324
249 JALAN BOON LAY,"LEVEL 5 FOUNDERS BLDG, CBG OFFICE",SINGAPORE,619523
"21 TANJONG PAGAR RD, #01-01",,SINGAPORE,088444
"11 TOH YI DRIVE, #06-371 BUKIT TIMAH",,SINGAPORE,590011
412 CHOA CHU KANG AVENUE 3,#11-371,SINGAPORE,680412
NO. 5 HARRISON ROAD #06-01,YAN XIAN BUILDING,SINGAPORE,369645
1 RAFFLES QUAY,#25-01,SINGAPORE,048583
"77 HIGH STREET,",#09-14 HIGH STREET PLAZA,SINGAPORE,179433
110 INTERNATIONAL ROAD,,SINGAPORE,629174
22 TUAS STREET,,SINGAPORE,638459
7B KEPPEL ROAD,#05-09 TANJONG PAGAR COMPLEX,SINGAPORE,089055
8 UBI ROAD 2,#08-10 ZERVEX,SINGAPORE,408538
71 WOODLANDS AVE 10 #05-07/08,WOODLANDS INDUSTRIAL XCHANGE,SINGAPORE,737743
52 SENANG CRESCENT,,SINGAPORE,419916
24 RAFFLES PLACE,#20-05 CLIFFORD CTR,SINGAPORE,048621
1 KAKI BUKIT AVENUE 3,#03-17 KB-1,SINGAPORE,416087
2 JALAN RAJAH,#05-20 GOLDEN WALL FLATTED FACTORY,SINGAPORE,329134
43 CHANGI SOUTH AVE,,SINGAPORE,486164
290 ORCHARD ROAD,#01-30 PARAGON,SINGAPORE,238859
30 PASIR PANJANG ROAD,#08-32 MAPLETREE BUSINESS CITY,SINGAPORE,117440
6 RAFFLES QUAY,#16-01 SINGAPORE,SINGAPORE,048580
211 WOODLANDS AVENUE 9,#04-87 WOODLANDS SPECTRUM II,SINGAPORE,738960
1 IRVING PLACE,#07-09 THE COMMERZE @ IRVING,SINGAPORE,369546
152 BEACH ROAD,#08-02/04 GATEWAY EAST,SINGAPORE,189721
988 TOA PAYOH NORTH,#04-05,SINGAPORE,319002
998 TOA PAYOH NORTH,#03-11,SINGAPORE,318993
31 WEST COAST TERRACE,,SINGAPORE,127240
331 NORTH BRIDGE ROAD,#02-01 ODEON TOWERS,SINGAPORE,188720
10 HOE CHIANG ROAD,#14-01 KEPPEL TOWERS,SINGAPORE,089315
60 PAYA LEBAR ROAD,#06-12 PAYA LEBAR SQUARE,SINGAPORE,409051
4 LENG KEE ROAD,#04-12 SIS BUILDING,SINGAPORE,159088
10 ANSON ROAD #43-09,INTERNATIONAL PLAZA,SINGAPORE,079903
60 PAYA LEBAR ROAD,#10-29,SINGAPORE,409051
1 COLEMAN STREET,#04-02,SINGAPORE,179803
24 LENG KEE ROAD,#03-02 LENG KEE AUTOPOINT,SINGAPORE,159096
19 BURN ROAD,#10-01 ADVANCE BUILDING,SINGAPORE,369974
28 GENTING LANE,#09-06 PLATINUM 28,SINGAPORE,349585
1 FULLERTON RD,#02-01,SINGAPORE,049213
48 TOH GUAN ROAD EAST,#05-131 ENTERPRISE HUB,SINGAPORE,608586
259 LAVENDER STREET,,SINGAPORE,338793
290 ORCHARD ROAD,#07-18 TO 20 (LOBBY C) PARAGON,SINGAPORE,238859
45 TELOK BLANGAH DRIVE,#01-175 BLANGAH COURT,SINGAPORE,100045
7 TAMPINES GRANDE,#05-01 HITACHI SQUARE,SINGAPORE,528736
"14 KUNG CHONG ROAD, #05-01",LUM CHONG BUILDING,SINGAPORE,159150
51 CHANGI BUSINESS PARK CENTRAL 2,#07-11 THE SIGNATURE,SINGAPORE,486066
20 WOODLANDS LINK,#08-20 WOODLANDS EAST IND EST,SINGAPORE,738733
3 ANG MO KIO STREET 62.,#07-19 LINK@AMK,SINGAPORE,569139
"30 PASIR PANJANG ROAD,MAPLETREE BUSINESS CITY",#08-32,SINGAPORE,117440
2 KALLANG PUDDING ROAD,#06-14 MACTECH INDUSTRIAL BUILDING,SINGAPORE,349307
56 JALAN PEMIMPIN #02-02,,SINGAPORE,577218
BLK 21 PIONEER ROAD NORTH,#01-111,SINGAPORE,628467
BLK 1004 TOA PAYOH NORTH,#06-08,SINGAPORE,318995
18 TAMPINES INDUSTRIAL CRESCENT,#06-02,SINGAPORE,528605
27 PIONEER,SECTOR 1,SINGAPORE,628433
50 TAGORE LANE #05-06H,ENTREPRENEUR BUSINESS CENTRE,SINGAPORE,787494
11 THIRD LOK YANG ROAD,,SINGAPORE,628006
"81 TUAS SOUTH AVE 1, LEVEL 3",SINGAPORE,SINGAPORE,637783
35 SELEGIE ROAD,#09-16 PARKLANE SHOPPING MALL,SINGAPORE,188307
3A JOO KOON CIRCLE,,SINGAPORE,629033
6 UBI ROAD 1,#04-07 WINTECH CENTRE,SINGAPORE,408726
"NO 47, KALLANG PUDDING ROAD",#07-14 CRESCENT @ KALLANG,SINGAPORE,349318
33 UBI AVENUE 3,#06-39 VERTEX,SINGAPORE,408868
21 KEW TERRACE,,SINGAPORE,466084
25 KAKI BUKIT ROAD 4,#01-85 SYNERGY@KB,SINGAPORE,417800
70 ANSON ROAD,#11-01 HUB SYNERGY POINT,SINGAPORE,079905
30 LOYANG WAY,#05-07,SINGAPORE,508769
50 CANBERRA DRIVE,#07-17,SINGAPORE,768438
23 JURONG PORT ROAD,ENG LEE LOGISTICS,SINGAPORE,619096
BLK 1 PIONEER ROAD NORTH #01-08,,SINGAPORE,628455
1003 BUKIT MERAH CENTRAL,#06-38,SINGAPORE,159836
248 COMPASSVALE ROAD,#03-624,SINGAPORE,540248
20 MALACCA STREET,#10-00. MALACCA CENTRE,SINGAPORE,048979
39 GENTING RD,,SINGAPORE,349485
BLOCK 366 TAMPINES STREET 34,#10-181,SINGAPORE,520366
24 KAKI BUKIT PLACE,,SINGAPORE,416202
7 KALLANG PLACE,#04-04,SINGAPORE,339153
61 KAKI BUKIT AVENUE 1,#03-09 SHUN LI IND PK,SINGAPORE,417943
1 ROCHOR CANAL ROAD,#05-02A SIM LIM SQ,SINGAPORE,188504
2 KALLANG AVENUE,#09-11 CT HUB,SINGAPORE,339407
NO 14 LITTLE ROAD,#07-01 TROPICAL INDUSTRIAL BUILDING,SINGAPORE,536987
"NO, 3 ANG MO KIO STREET,","#01-40 LINK@AMK,",SINGAPORE,569139
16 JALAN KILANG TIMOR,#03-03 REDHILL FORUM,SINGAPORE,159308
8 BURN ROAD,CHIN LIM INDUSTRIAL BUILDING,SINGAPORE,369646
190 CLEMENCEAU AVENUE,#05-13/14/15/16/17/18,SINGAPORE,239924
122 POTONG PASIR AVENUE 1,#22-161,SINGAPORE,350122
33A CHANDER ROAD,,SINGAPORE,219539
1 YISHUN INDUSTRIAL STREET 1,#07 -11 A'POSH BIZHUB,SINGAPORE,768160
10 HOE CHIANG ROAD #07-04 KEPPEL TOWERS,,SINGAPORE,089315
56 LOYANG WAY,#02-08 LOYANG ENTERPRISE,SINGAPORE,508775
11 NEW BRIDGE ROAD,#03-01,SINGAPORE,059383
30 TOH GUAN ROAD,#08-02,SINGAPORE,608840
TO NO. 5 TAI SENG DRIVE,,SINGAPORE,535217
1 ORCHARD BOULEVARD,#14-06 CAMDEN MEDICAL CENTRE,SINGAPORE,248649
20 BUKIT BATOK CRESCENT,#03-23 ENTERPRISE CENTRE,SINGAPORE,658080
BLK 1004 EUNOS AVENUE 8,#01-05,SINGAPORE,409499
7 TOH GUAN ROAD EAST,#05-09,SINGAPORE,608599
48 TOH GUAN ROAD EAST,#07-103 ENTERPRISE HUB,SINGAPORE,608586
BLK 1 YISHUN STREET 23,#04-21,SINGAPORE,768441
672 CHOA CHU KANG CRESCENT,#10-491,SINGAPORE,680672
1767 GEYLANG BAHRU,#01-05 KALLANG DISTRIPARK,SINGAPORE,339702
10 ADMIRALTY STREET,#04-76 NORTH LINK BLDG,SINGAPORE,757695
30 KAKI BUKIT ROAD 3,#05 -05 EMPIRE TECHNOCENTRE,SINGAPORE,417819
10 COLLYER QUAY #03-06 OCEAN FINANCIAL CENTER,,SINGAPORE,049315
275A COMPASSVALE LINK,#13-250,SINGAPORE,541275
220 ORCHARD ROAD,"#02-03, MIDPOINT ORCHARD",SINGAPORE,238852
8 JURONG TOWN HALL ROAD,"THE JTC SUMMIT, #24-05",SINGAPORE,609434
"20 CUSCADEN ROAD, #05-02 THE TOMLINSON",,SINGAPORE,249726
73 TUAS VIEW LOOP,,SINGAPORE,637713
10 ANSON ROAD INTERNATIONAL PLAZA,#18-03,SINGAPORE,079903
100 BEACH ROAD,#14 - 07 SHAW TOWERS,SINGAPORE,189702
"400 ORCHARD ROAD,","#14-05 ORCHARD TOWERS,",SINGAPORE,238875
"1 ROCHOR CANAL ROAD,","SIM LIM SQUARE, #06-01B",SINGAPORE,188504
1 NORTH BRIDGE ROAD,# 26-08 HIGH STREET CENTRE,SINGAPORE,179094
10 ANSON ROAD,"#27-09, INTERNATIONAL PLAZA",SINGAPORE,079903
9 TEMASEK BOULEVARD,#08-01B SUNTEC TOWER 2,SINGAPORE,038989
9 TEMASEK BOULEVARD,#07-01 SUNTEC TOWER TWO,SINGAPORE,038989
65 AIRPORT BOULEVARD,#02-K9 CHANGI AIRPORT TERMINAL 3,SINGAPORE,819663
80 UBI AVE 4,#04-01,SINGAPORE,408831
28E PENJURU CLOSE,#01-07,SINGAPORE,609133
120 LOWER DELTA RD,"#07-08,CENDEX CENTRY",SINGAPORE,169208
2 SIMS CLOSE,#06-10 GEMINI @ SIMS,SINGAPORE,387298
"10 ANSON ROAD #26-04,",INTERNATIONAL PLAZA,SINGAPORE,079903
BLK 625 ALJUNIED ROAD #08-03,ALJUNIED INDUSTRIAL COMPLEX,SINGAPORE,389836
PARTS LOGISTICS ASIA PACIFIC,301 JALAN AHMAD IBRAHIM,SINGAPORE,639526
101 THOMSON ROAD #27-02 UNITED SQUARE,,SINGAPORE,307591
5 SIGLAP ROAD,#09-37,SINGAPORE,448908
"8 KALLANG AVENUE,",#05-01 APERIA TOWER ONE,SINGAPORE,339509
50 EAST COAST ROAD,ROXY SQ,SINGAPORE,428769
50 RAFFLES PLACE,#16-01/01A SINGAPORE LAND TOWER,SINGAPORE,048623
ANSON ROAD #17-11,INTERNATIONAL PLAZA,SINGAPORE,079903
250 NORTH BEACH ROAD,#16-02 RAFFLES CITY TOWER,SINGAPORE,179101
8 TEMASEK BOULEVARD,#42-01 SUNTEC TOWER THREE,SINGAPORE,038988
7 STRAITS VIEW,#16 -05/06 MARINA ONE EAST TOWER,SINGAPORE,018936
5 TUAS AVENUE 6,,SINGAPORE,639295
2 INTERNATIONAL BUSINESS PARK,THE STRATEGY TOWER 1 #04-12,SINGAPORE,609930
"BLK 522, JURONG WEST ST 52",#23-225,SINGAPORE,640522
163 TRAS ST,03-04 LIAN HUAT BLDG,SINGAPORE,079024
31 EXETER ROAD,#05-04 PODIUM BLK (COMCENTRE),SINGAPORE,239732
"18 HOWARD ROAD, #11-05",NOVELTY BIZCENTRE,SINGAPORE,369585
629 ALJUNIED ROAD #07-19,CITITECH INDUSTRIAL BUILDING,SINGAPORE,389838
65 CHULIA STREET OCBC CENTRE,#34-01/07,SINGAPORE,049513
80 CHANGI ROAD,#05-18 CENTROPOD @ CHANGI,SINGAPORE,419715
7 GAMBAS CRESCENT,#05-25 ARK @ GAMBAS,SINGAPORE,757087
8 MARINA VIEW,#33-01 ASIA SQUARE TOWER 1,SINGAPORE,018960
21 FISHERY PORT ROAD,,SINGAPORE,619737
23 SERANGOON NORTH AVENUE 5,"#05-02, BTH CENTRE",SINGAPORE,554530
6 TEMASEK BOULEVARD,#42-01 SUNTEC TOWER FOUR,SINGAPORE,038986
20 TOH GUAN ROAD #04-01,,SINGAPORE,608839
200 CANTONMENT ROAD,#02-05 SOUTHPOINT,SINGAPORE,089763
3 FRASER STREET #23-28,DUO TOWER,SG,189352
3 KILLINEY ROAD,#08-01/02 WINSLAND HOUSE I,SINGAPORE,239519
55 SERANGOON NORTH AVE 4,#09-05 S9,SINGAPORE,555859
"61 KAKI BUKIT AVENUE 1,",#03-05A SHUN LI INDUSTRIAL PARK,SINGAPORE,417943
"1 TEMASEK AVENUE, #14-01",MILLENIA TOWER,SINGAPORE,39192
38 JALAN PEMIMPIN,#06-01,SINGAPORE,577278
"51 CHANGI BUSINESS PARK CENTRAL 2,",07 - 08 THE SIGNATURE,SINGAPORE,486066
28 SENANG CRESCENT #01-01,BIZHUB 28,SINGAPORE,416601
53/57 PANDAN LOOP,,SINGAPORE,128272
7 MANDAI LINK,#07-26/27 MANDAI CONNECTION,SINGAPORE,728653
1 NORTH BRIDGE ROAD,#17-02 HIGH STREET CENTRE,SINGAPORE,179094
23 TUAS AVENUE 6,,SINGAPORE,639310
249 JLN BOON LAY,,SG,619523
138 MARKET STREET,#12-01 CAPITAGREEN,SINGAPORE,048946
NO 10 ADMIRALTY STREET #01-83,NORTH LINK BUILDING,SINGAPORE,757695
"10 RAEBURN PARK, #01-17",,SINGAPORE,088702
1 MCNALLY STREET,,SINGAPORE,187940
25 PANDAN CRESCENT,#05-15 TIC TECH CENTRE,SINGAPORE,128477
8 COMMONWEALTH LANE,#02-02 ULTRACO BUILDING,SINGAPORE,149555
3 CHANGI BUSINESS PARK VISTA,#01-01 AKZONOBEL HSE,SINGAPORE,486051
16 SENOKO DRIVE,,SINGAPORE,758203
1 KAKI BUKIT ROAD ONE,02-48 ENTERPRISE ONE,SINGAPORE,415934
BLOCK 468 ANG MO KIO AVENUE 10,#04-968,SINGAPORE,560468
"67 UBI AVE 1, #07-08",STARHUB GREEN,SINGAPORE,408942
"TO 190 MACPHERSON ROAD, #07-03","WISMA GULAB BUILDING,",SINGAPORE,348548
68 ORCHARD ROAD,#B1-05 PLAZA SINGAPURA,SINGAPORE,238839
391B ORCHARD ROAD,#24-02 NGEE ANN CITY TWR B,SINGAPORE,238874
20 JALAN AFIFI,CERTIS CISCO CENTRE 2,SINGAPORE,409179
50 GAMBAS CRESCENT,#04-17 PROXIMA@ GAMBAS,SINGAPORE,757022
20 TOH GUAN ROAD,#03-00 CJ KOREA EXPRESS BUILDING,SINGAPORE,608839
"BLK.1003,BUKIT MERAH CENTRAL",#07-18 INNO-CENTRE,SINGAPORE,159836
433B SENGKANG WEST WAY,#07-539,SINGAPORE,792433
18 BENOI SECTOR,LEVEL 3,SINGAPORE,629851
23 LORONG 19 GEYLANG,,SINGAPORE,388497
1 COMMONWELATH LANE #06-33,ONE COMMONWEALTH,SINGAPORE,149544
194 PANDAN LOOP,PANTECH BUSINESS HUB #05-09,SINGAPORE,128383
3B TOH GUAN ROAD EAST #01-00C,,SINGAPORE,608833
11 EUNOS ROAD 8 #05-04,LIFELONG LEARNING INSTITUTE,SINGAPORE,408601
786B WOODLANDS DRIVE 60,#06-93,SINGAPORE,732786
10 ANSON ROAD,#10-14 INT'L PLAZA,SINGAPORE,079903
75 AYER RAJAH CRESCENT,#01-03,SINGAPORE,139953
21 TANJONG PENJURU,JURONG INDUSTRIAL ESTATE,SINGAPORE,609022
33 UBI AVENUE 3,#06-72 VERTEX LOBBY A,SINGAPORE,408868
108 PASIR PANJANG ROAD,#04-01 GOLDEN AGRI PLAZA,SINGAPORE,118535
"38B MOSQUE STREET, #03-00",,SINGAPORE,059516
460 ALEXANDRA ROAD,#11 -04/05 PSA BUILDING,SINGAPORE,119963
50 RAFFLES PLACE #38-02,SINGAPORE LAND TOWER,SINGAPORE,048623
60A ORCHARD ROAD,#B1-04/05/06,SINGAPORE,238890
26B JALAN MEMBINA,`#08-206,SINGAPORE,165026
"9, HARRISON ROAD","#02-01, HARRISON INDUSTRIAL BUILDING",SINGAPORE,369651
"622, LORONG 1 TOA PAYOH",HEALTH SYSTEMS - SERVICE PARTS SUPPLY CHAIN,SINGAPORE,319763
"38 ANG MO KIO INDUSTRIAL PARK 2,",#02-07A,SINGAPORE,569511
38 ANG MO KIO INDUSTRIAL PARK 2,#WPS-256,SINGAPORE,569511
BLK 38 DEFU LANE 10,#03-13,SINGAPORE,539215
LEVEL 426 BATTERY ROAD,,SINGAPORE,049909
336 RIVER VALLEY ROAD,"LEVEL 3, AA CENTRE",SINGAPORE,238366
NO 28 WOODLANDS LOOP,,SINGAPORE,738308
11 WOODLANDS CLOSE,#06-15 WOODLANDS 11,SINGAPORE,737853
545 ORCHARD ROAD,#10-06 FAR EAST SHOPPING CENTRE,SINGAPORE,238882
30 LOYANG WAY,#06-06,SINGAPORE,508769
33 UBI AVENUE 3,#05-48 VERTEX TOWER A,SINGAPORE,408868
BLK 26 TOA PAYOH EAST,#01-138,SINGAPORE,310026
1 COMMONWEALTH LANE,#09-10 ONE COMMONWEALTH,SINGAPORE,149544
"8, KAKI BUKIT AVENUE 4",#07-19 PREMIER @ KAKI BUKIT,SINGAPORE,415875
8B ADMIRALTY STREET,#08-20 8B@ADMIRALTY,SINGAPORE,757440
61 WOODLANDS INDUSTRIAL PARK E9,"#03-28, E9 PREMIUM",SINGAPORE,757047
52 GENTING LANE # 01-01,RUBY LAND COMPLEX BLOCK 1,SINGAPORE,349560
30 KALLANG PUDDING ROAD,#0-01A VALIANT INDUSTRIAL,SINGAPORE,649312
1557 KEPPEL ROAD,"#03-05B, BLOCK C",SINGAPORE,089066
BLK 102 TOWNER ROAD,#01-268 TOWNERVILLE,SINGAPORE,322102
NO 10 ANSON ROAD,#10-11 INTERNATIONAL PLAZA,SINGAPORE,079903
1 TUAS SOUTH AVE 6,#03-08 WESTCCOM,SINGAPORE,637021
10 INTERNATIONAL BUSINESS PK,,SINGAPORE,609928
BLK 8 LORONG BAKAR BATU,#04-05 KOLAM AYER INDUSTRIAL ESTATE,SINGAPORE,348743
62 UBI ROAD 1,"#01-41, OXLEY BIZHUB 2",SINGAPORE,408734
62 UBI ROAD 1,#01 - 41 OXLEY BIZHUB 2,SINGAPORE,408734
21 HENG MUI KHENG TERRACE,"#01-01/02 ICUBE , THE HANGAR",SINGAPORE,119613
3014A UBI ROAD 1,#02-09,SINGAPORE,408703
71 TOH GUAN ROAD EAST,"#01-04, TCH TECHCENTRE",SINGAPORE,608598
65 CIRCUIT ROAD,#04-361 MACPHERSON GARDEN,SINGAPORE,370065
619E BUKIT TIMAH ROAD,#02-01,SINGAPORE,269725
"63 CANTONTMNET RD,",,SINGAPORE,089758
3 TEMASEK AVENUE,#34-48 CENTENNIAL TOWER,SINGAPORE,039190
15 BENOI PLACE,,SINGAPORE,629933
1 UBI VIEW #04-16,FOCUS ONE,SINGAPORE,408555
261 WATERLOO STREET,#02-16 WATERLOO CENTRE,SINGAPORE,180261
456 CHOA CHU KANG AVENUE 4,#04-89,SINGAPORE,680456
8 BOON LAY WAY,#08-14 8@TRADEHUB 21,SINGAPORE,609964
68 KALLANG PUDDING ROAD #03-01,SYH LOGISTICS BUILDING,SINGAPORE,349327
515 YIO CHU KANG ROAD #01-50,,SINGAPORE,787083
NO. 6 TAGORE DRIVE,TAGORE BUILDING #03-04,SINGAPORE,787623
36 ROBINSON ROAD,# 09- 05/06 CITY HOUSE,SINGAPORE,068877
48 HILLVIEW TERRACE,#03-04B HILLVIEW BUILDING,SINGAPORE,669269
"61 Senoko Drive, Level 4",,SG,758238
14 KUNG CHONG ROAD,#05-01 LUM CHANG BUILDING,SINGAPORE,159150
391 ORCHARD ROAD,#03-02 NGEE ANN CITY,SINGAPORE,238872
2 YISHUN IND STREET 1,#04-11 NORTH POINT BIZHUB,SINGAPORE,768159
"BLK 701, YISHUN AVENUE 5",#12-310,SINGAPORE,760701
25 PANDAN CRESCENT,#05-03 TIC TECH CENTRE,SINGAPORE,128477
10 KAKI BUKIT ROAD 2,#01-29 FIRST EAST CENTRE,SINGAPORE,417868
NO.1 SENOKO AVENUE,"#04-02, FOODAXIS",SINGAPORE,758297
6 UBI ROAD 1,#08-02 WINTECH CENTRE,SINGAPORE,408726
102F PASIR PANJANG ROAD,#03-03 CITILINK WAREHOUSE COMPLEX,SINGAPORE,118530
157E TAMARIND ROAD,#05-01 SERENITY PARK TOWER 1,SINGAPORE,806109
2 SOON WING ROAD #03-10,SOON WING INDUSTRIAL BUILDING,SINGAPORE,347893
19 BURN ROAD,#08-02 ADVANCE BUILDING,SINGAPORE,369974
